LineCode,indent
10,0
20,0
30,0
35,0
36,2
37,4
38,4
42,2
45,2
46,2
47,2
50,2
60,2
61,4
62,4
70,2
71,4
72,4
81,2
82,2
90,4
100,6
101,8
102,8
103,8
200,6
201,8
202,8
203,8
300,6
400,6
401,8
402,8
403,8
500,6
510,8
511,10
512,10
513,10
514,10
515,10
516,10
517,10
518,10
519,10
521,10
522,10
530,8
531,10
532,10
533,10
534,10
535,10
536,10
537,10
538,10
539,10
541,10
542,10
600,6
700,6
701,8
702,8
703,8
704,8
705,8
706,8
707,8
708,8
709,8
711,8
712,8
713,8
800,6
801,8
802,8
803,8
804,8
805,8
806,8
807,8
808,8
809,8
811,8
900,6
901,8
902,8
903,8
904,8
905,8
906,8
907,8
1000,6
1001,8
1002,8
1003,8
1004,8
1005,8
1100,6
1101,8
1102,8
1103,8
1200,6
1300,6
1400,6
1401,8
1402,8
1500,6
1600,6
1601,8
1602,8
1603,8
1604,8
1700,6
1701,8
1702,8
1703,8
1800,6
1801,8
1802,8
1900,6
1901,8
1902,8
1903,8
1904,8
2000,4
2001,6
2002,6
2010,6
2011,8
2012,8
