"Label","Child","Parent"
"Private industries","2","1"
"Agriculture, forestry, fishing, and hunting","3","87"
"Agriculture, forestry, fishing, and hunting","3","2"
"Agriculture, forestry, fishing, and hunting","3","91"
"Mining, quarrying, and oil and gas extraction","6","2"
"Mining, quarrying, and oil and gas extraction","6","91"
"Utilities","10","2"
"Utilities","10","92"
"Utilities","10","89"
"Construction","11","2"
"Construction","11","91"
"Manufacturing","12","2"
"Manufacturing","12","90"
"Manufacturing","12","91"
"Durable goods manufacturing","13","12"
"Nondurable goods manufacturing","25","12"
"Wholesale trade","34","88"
"Wholesale trade","34","2"
"Wholesale trade","34","92"
"Retail trade","35","92"
"Retail trade","35","2"
"Retail trade","35","88"
"Transportation and warehousing","36","2"
"Transportation and warehousing","36","92"
"Information","45","2"
"Information","45","90"
"Information","45","92"
"Finance and insurance","51","50"
"Finance and insurance","51","50"
"Real estate and rental and leasing","56","50"
"Real estate and rental and leasing","56","50"
"Professional, scientific, and technical services","60","59"
"Professional, scientific, and technical services","60","59"
"Management of companies and enterprises","64","59"
"Management of companies and enterprises","64","59"
"Management of companies and enterprises","64","59"
"Administrative and support and waste management and remediation services","65","59"
"Administrative and support and waste management and remediation services","65","59"
"Educational services","69","68"
"Educational services","69","68"
"Educational services","69","68"
"Health care and social assistance","70","68"
"Health care and social assistance","70","68"
"Arts, entertainment, and recreation","76","75"
"Arts, entertainment, and recreation","76","75"
"Accommodation and food services","79","75"
"Accommodation and food services","79","75"
"Other services (except government and government enterprises)","82","2"
"Other services (except government and government enterprises)","82","92"
"Government and government enterprises","83","1"
"Finance, insurance, real estate, rental, and leasing","50","2"
"Professional and business services","59","2"
"Educational services, health care, and social assistance","68","2"
"Arts, entertainment, recreation, accommodation, and food services","75","2"
"Mining, quarrying, and oil and gas extraction","6","87"
"Transportation and warehousing","36","89"
"Finance, insurance, real estate, rental, and leasing","50","92"
"Professional and business services","59","92"
"Educational services, health care, and social assistance","68","92"
"Arts, entertainment, recreation, accommodation, and food services","75","92"
